teks,link
Mbkm,https://pta.trunojoyo.ac.id/c_search/byfac/99
Mbkm,https://pta.trunojoyo.ac.id/c_search/byprod/99
Pascasarjana,https://pta.trunojoyo.ac.id/c_search/byfac/100
Magister Pendidikan Dasar,https://pta.trunojoyo.ac.id/c_search/byprod/39
Doktor Pengelolaan Sumber Daya Alam,https://pta.trunojoyo.ac.id/c_search/byprod/40
Hukum,https://pta.trunojoyo.ac.id/c_search/byfac/1
Pertanian,https://pta.trunojoyo.ac.id/c_search/byfac/2
Ekonomi Dan Bisnis,https://pta.trunojoyo.ac.id/c_search/byfac/3
Teknik,https://pta.trunojoyo.ac.id/c_search/byfac/4
Ilmu Sosial Dan Ilmu Budaya,https://pta.trunojoyo.ac.id/c_search/byfac/5
Keislaman,https://pta.trunojoyo.ac.id/c_search/byfac/6
Ilmu Pendidikan,https://pta.trunojoyo.ac.id/c_search/byfac/7
Mbkm,https://pta.trunojoyo.ac.id/c_search/byfac/99
Pascasarjana,https://pta.trunojoyo.ac.id/c_search/byfac/100
www.trunojoyo.ac.id,http://trunojoyo.ac.id
http://e-journal.dikti.go.id,http://e-journal.dikti.go.id
,#
,#
,#
,#
,#
,#
,#
