judul,kategori,isi,link
Purbaya Tegur Anak soal Postingan Anak di Medsos: Sudah Tak Main IG,ekonomi,"Menteri KeuanganPurbaya Yudhi Sadewamengaku sudah menegur anaknya soal postingan viral dimedia sosial(medsos). Postingan tersebut soal 'Ayahku sudah melengserkan agen CIA'. Postingan muncul usai ia dilantik Presiden Prabowo Subianto menjadi menteri keuangan menggantikan Sri Mulyani. Unggahan yang dimaksud adalah tulisan dalam Instagram story milik akun pribadi anak dari Purbaya. Tangkapan layar unggahan tersebut sudah tersebar di media sosial, namun kini unggahan tersebut telah dihapus. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Purbaya telah meminta anaknya untuk tidak lagi bermain media sosial. ""Dia nggak ngerti, masih kecil. Sudah (dilarang). Sudah tidak main Instagram lagi. Jadi, anak kecil nggak ngerti apa-apa, gitu aja,"" ungkap Purbaya di Kompleks Istana Kepresidenan, Rabu (10/9).  Eks Bos LPS itu juga menyatakan dirinya telah menegur keras anaknya soal unggahan yang viral itu. Menurutnya, keluarganya sedikit kaget, setelah menjadi menteri keuangan. Pasalnya, sorotan masyarakat menjadi sangat besar. ""Sudah, sudah (ditegur). Kan udah nggak ada lagi di-take down semua di Instagram juga. Dan kita juga nggak biasa kan, biasanya santai, santai nggak ada yang liatin rupanya tiba-tiba dilihatin semuanya setiap gerakan. Baru tahu saya,"" kata Purbaya. [Gambas:Video CNN] ",https://www.cnnindonesia.com/ekonomi/20250911072911-532-1272396/purbaya-tegur-anak-soal-postingan-anak-di-medsos-sudah-tak-main-ig
Apa Itu Kantor Biro Politik Hamas Target Israel & Kenapa Ada di Qatar?,internasional,"Kantor Biro PolitikHamasdi Doha,Qatar, menjadi sorotan setelah Israel melancarkan serangan udara pada Selasa (9/9) dengan menargetkan para pemimpin senior kelompok itu. Serangan ini menewaskan enam orang, termasuk putra dari Khalil al-Hayya, pemimpin tim negosiasi Hamas di Doha, salah satu ajudannya, serta seorang perwira keamanan Qatar. Namun Hamas memastikan pimpinan utamanya selamat.  ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Ini sekali lagi mengungkapkan sifat kriminal dari pendudukan dan keinginannya untuk merusak setiap peluang kesepakatan,"" kata Hamas. Qatar mengutuk keras serangan tersebut, menyebutnya ""pelanggaran terang-terangan terhadap hukum internasional dan ancaman serius bagi keamanan warga Qatar dan penduduknya."" Bagi Israel, serangan itu disebut sebagai operasi independen untuk menghantam pimpinan Hamas yang dianggap mengatur perang sejak serangan 7 Oktober 2023. Serangan ini adalah yang pertama kali dilakukan Israel ke Qatar, menandai eskalasi baru dalam perang melawan Hamas sekaligus mengguncang citra Qatar yang selama ini dikenal sebagai mediator internasional.     Kantor Biro Politik Hamas di Doha adalah pusat aktivitas politik milisi sekaligus partai penguasa Jalur Gaza itu di luar wilayah Palestina. Kantor ini dibuka pada 2012, ketika Khaled Meshaal dan sejumlah pemimpin Hamas meninggalkan Suriah setahun setelah perang saudara pecah. Sejak itu, sejumlah tokoh Hamas bermukim di Qatar. Meshaal, mantan ketua Biro Politik Hamas yang pernah lolos dari upaya pembunuhan Israel di Yordania pada 1997, menetap di Doha sejak 2012. Ismail Haniyeh, yang menggantikan Meshaal sebagai pemimpin politik Hamas sekaligus pernah menjabat perdana menteri Palestina, juga berbasis di Qatar sejak 2017. Namun, Haniyeh tewas dalam serangan Israel di Teheran pada Juli 2024.  Kematian Haniyeh terjadi saat agresi Israel ke Jalur Gaza sejak Oktober 2023 tengah gencar-gencarnya sebagai balasan atas serangan Hamas yang lebih dulu menargetkan wilayah negara Zionis itu pada 7 Oktober 2023. Selain itu, ada pula Khalil al-Hayya, anggota dewan kepemimpinan Hamas yang kini memimpin delegasi negosiasi, serta Mousa Abu Marzouk. Kehadiran para tokoh ini membuat Doha kerap menjadi lokasi perundingan penting, termasuk soal upaya gencatan senjata di Gaza maupun pembahasan pembebasan tawanan Israel. Berlanjut ke halaman berikutnya >>>  Qatar dikenal sebagai salah satu mediator paling berpengaruh di Timur Tengah dan dunia. Negara Teluk ini menjalin hubungan baik dengan pihak-pihak yang saling bermusuhan, mulai dari Amerika Serikat (AS) hingga Iran. Para pejabat Qatar berulang kali menegaskan keputusannya menampung Hamas datang setelah ada permintaan dari AS. Dalam opininya di Wall Street Journal (2023), Duta Besar Qatar untuk AS, Sheikh Meshal bin Hamad Al Thani, menulis Washington menghendaki kantor itu ""untuk membangun jalur komunikasi tidak langsung dengan Hamas."" Selain itu, Qatar selama bertahun-tahun memberikan bantuan finansial untuk Gaza yang sejak 2007 berada di bawah blokade Israel, sekaligus menjadi salah satu pendukung utama perjuangan Palestina.  Sheikh Meshal menegaskan keberadaan kantor Hamas ""tidak boleh disalahartikan sebagai dukungan, melainkan sebagai kanal komunikasi penting yang kerap dipakai dalam upaya mediasi konflik di Israel dan wilayah Palestina."" Perdana Menteri Qatar Sheikh Mohammed bin Abdulrahman bin Jassim Al Thani bahkan sempat menyatakan pada 2023 bahwa negaranya mungkin meninjau ulang peran mediasi, karena ada pihak-pihak yang menggunakan mediasi demi ""kepentingan politik sempit."" Peran Qatar sebagai tuan rumah aktor politik internasional bukan hal baru. Negara itu juga menampung Taliban sejak 2013 untuk memfasilitasi perundingan damai dengan AS, serta menjadi tempat aman bagi sejumlah tokoh politik Arab pasca-Arab Spring. Di saat yang sama, Qatar menampung pangkalan militer AS terbesar di Timur Tengah, Al Udeid. Dengan posisi unik ini, Doha berperan ganda. Di satu sisi menjadi mediator yang membuka jalur komunikasi antara musuh bebuyutan, di sisi lain kini ikut terseret langsung ke dalam eskalasi konflik akibat serangan Israel.",https://www.cnnindonesia.com/internasional/20250910154125-120-1272197/apa-itu-kantor-biro-politik-hamas-target-israel-kenapa-ada-di-qatar
SEA Games: Masih Percaya Vanenburg atau Pilih Indra Sjafri?,olahraga,"Seiring kegagalan meraih tiket putaran final Piala Asia U-23 2026, siapa yang akan melatihTimnas Indonesiadalam SEA Games 2025 di Thailand? Belum ada sikap resmi dari PSSI dan pemerintah, dalam hal ini Kemenpora. Yang pasti, Gerald Vanenburg menyebut dirinya tidak dikontrak untuk menangani Garuda Muda di SEA Games 2025. PSSI sempat punya asa agar Vanenburg yang tetap menangani Arkhan Fikri dan kawan-kawan di Thailand. Kiprah Indonesia U-23 selama Kualifikasi Piala Asia U-23 2026 jadi tolok ukurnya. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT  Rupanya kinerja kepelatihan Vanenburg berbuah dua kegagalan, Piala AFF U-23 2025 dan Kualifikasi Piala Asia U-23 2026. Dengan ini situasi pelatih asal Belanda tersebut tersudut. Pasalnya, sebelum Vanenburg dikontrak PSSI sebagai pelatih Indonesia U-23, Kemenpora membuat pernyataan bahwa Indra Sjafri yang akan menjadi nahkoda Garuda Muda di SEA Games 2025. Namun, Menpora Dito Ariotedjo, yang kini sudah tidak menjabat posisi tersebut, meralatnya. Status pelatih Indonesia U-23 di SEA Games 2025 akan dibahas PSSI dan Kemenpora. Dengan tak adanya Dito di Kemenpora, tidak menutup kemungkinan kebijakan bakal berubah. Sebab, biasanya, pemerintah tak mengintervensi perihal teknis di cabang olahraga.    Maksudnya, PSSI otonom dalam menentukan siapa pelatih yang akan dipilih. Pemerintah tak punya kuasa siapa pelatih yang akan ditugaskan, karena itu wilayah federasi. Hanya saja, melihat dinamika yang terjadi, Vanenburg terbukti tak bertuah dalam dua ajang, ada potensi Indra Sjafri kembali dipercaya untuk merebut medali emas SEA Games 2025. Target Kemenpora untuk cabang olahraga sepak bola SEA Games 2025 adalah emas. Karena itu Kemenpora berharap PSSI menunjuk pelatih yang teruji rekam prestasinya. Dalam hal ini Indra Sjafri sudah terbukti. Ia adalah pelatih yang membawa Indonesia meraih emas SEA Games 2023. Meski namanya tak sebesar Vanenburg, tetapi tuah Indra telah terbukti. SEA Games 2025akan berlangsung di Thailand pada 9-20 Desember 2025. Adapun cabang olahraga sepak bola akan berlangsung mulai 3 Desember hingga 18 Desember. Jika melihat jadwal Super League 2025/2026, kompetisi akan jeda pada 1 hingga 19 Desember. Pertandingan terakhir sebelum jeda SEA Games 2025 adalah 30 November. Kalau mengacu kalender ini, skuad Timnas Indonesia U-23 baru bisa bergabung pada 1 Desember. Artinya pula tak ada waktu persiapan sebelum bertanding pada 3 Desember.  Namun, ada kalender internasional FIFA Matchday periode November pada tanggal 10-18. PSSI bisa memulai persiapan menuju SEA Games 2025 mulai tanggal tersebut. Setelah kalender internasional selesai, skuad Indonesia U-23 tidak perlu bubar pula. Sewajarnya jika tim ini tetap melakukan pemusatan latihan. Karena itu dibutuhkan sosok diplomat. Pelatih yang bisa berkomunikasi dengan klub, agar rela melepas pemainnya ke skuad Indonesia U-23, sangat penting. Perihal ini Gerald Vanenburg sepertinya kurang luwes bergerak. Beda halnya dengan Indra Sjafri. Ia punya hubungan yang baik dengan petinggi klub sepak bola Indonesia. Indra juga biasa toleran dengan kebutuhan klub selama kompetisi. Berkaca dari ajang-ajang sebelumnya, Indra kerap melepas pemain saat dibutuhkan klub dalam kompetisi. Sang pemain akan kembali berlatih dengan dia begitu selesai bertanding. Ini jelas tak mudah bagi pemain. Ia berlatih dengan tim nasional, tetapi bertanding dengan skema dan sistem permainan klub. Namun, bagi pelatih pragmatis ini penting. Tetapi, inilah kelebihan Indra. Ia bisa berkompromi dengan situasi dan kondisi tanpa menghilangkan esensi latihan menjelang kejuaraan. Dalam hal ini Indra unggul atas Vanenburg. Kini bola ada di tangan PSSI, apakah akan memilih Vanenburg atau Indra. Yang pasti, target pemerintah jelas dan tegas, pertahankan medali emas cabang olahraga sepak bola.  [Gambas:Video CNN] ",https://www.cnnindonesia.com/olahraga/20250911062414-142-1272371/sea-games-masih-percaya-vanenburg-atau-pilih-indra-sjafri
Bagaimana Nasib Mees Hilgers di FC Twente?,olahraga,"Masa depanMees Hilgershingga kini masih belum ada kepastian menyusul gagalnya rencana dia pindah ke Stade Brest pada pekan lalu. Lantas, bagaimana nasib Mees Hilgers di FC Twente? Mees Hilgers saat ini masih ikut latihan FC Twente setelah gagal pindah ke Stade Brest pekan lalu karena kurangnya waktu untuk tes medis. Tetapi keinginan Hilgers untuk hengkang tetap masih ada. Direktur Teknik FC Twente Jan Streuer mengaku pihaknya telah berupaya sepanjang musim panas untuk menjual pemain Timnas Indonesia tersebut yang kontraknya di Enschede akan berakhir di akhir musim ini. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Belum ada solusi. Tapi, masih ada beberapa aktivitas seputar Mees. Beberapa hal masih memungkinkan di beberapa negara. ,"" kata Jan Streuer dikutip dariVoetbal Internasional. ""Kita lihat saja perkembangannya dalam beberapa minggu mendatang. Dan jika tidak ada perkembangan lain yang terjadi, maka kita akan memiliki bek tengah tambahan. Tentu saja itu bisa diatasi,"" ujar Streuer menambahkan. FC Twente telah meminjamkan bek tengah Alec van Hoorenbeeck ke Heracles Almelo. Kini materi bek tengah Twente menyisakan Robin Propper, Max Bruns, Stav Lemkin, dan Ruud Nijstad, yang dipromosikan dari akademi muda. ""Situasi saat ini, tiga ditambah satu pemain muda. Itu agak berisiko. Dengan Mees, jumlahnya menjadi empat ditambah satu pemain muda. Itu sendiri tidak buruk,"" kata Streuer.    Streuer mengatakan pihaknya akan mendesak perpanjangan kontrak untuk mencegah Hilgers pergi dengan status bebas transfer. ""Kita harus membicarakannya dengannya. Tapi mari kita tunggu dan lihat dalam beberapa minggu mendatang,"" ucap Streuer.  [Gambas:Video CNN] ",https://www.cnnindonesia.com/olahraga/20250911083242-142-1272412/bagaimana-nasib-mees-hilgers-di-fc-twente
"Israel Bom Markas Houthi di Ibu Kota Yaman, 35 Tewas 118 Terluka",internasional,"Militer Israelmeluncurkan bom ke Ibu Kota Negara Yaman, Sanaa, Rabu (10/9). Mengutip dariReuters,serangan itu terlihat menyasar dua tempat yang diduga menjadi markas komando milisi Houthi di Sanaa dan Jawf yang berbatasan dengan Arab Saudi. AFPmelansir berdasarkan keterangan Houthi menyatakan korban tewas akibat serangan Israel itu mencapai 35 orang. Sementara itu, setidaknya ada 118 orang terluka. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Juru bicara kementerian kesehatan Houthi di Yaman, Anees Alasbahi di akun media sosial X menyatakan, ""Pertahanan sipil, ambulans, dan tim penyelamat sedang mencari kemungkinan korban lain yang masih hilang."" Di Sanaa, asap membumbung tinggi di atas kawasan gedung yang dibom Israel. Gedung itu disebut sebagai markas komando Houthi selama lebih dari sedekade terakhir. Serangan ini merupakan yang kesekian kalinya dilakukan Israel ke wilayah Sanaa dengan dalih menargetkan milisi Houthi. Bulan lalu, Perdana Menteri dari Houthi Ahmed Ghaleb Nasser al-Rahawi, sembilan menteri, dan dua staf kabinet terbunuh oleh serangan Israel ketika mereka sedang menghadiri pertemuan kabinet di Sanaa. Sementara itu stasiun televisi Al-Masirah yang dikelola Houthi memberitakan serangan di Jawf telah menghantam cabang bank sentral di kota Al-Hazm. Sejumlah pegawai bank itu, katanya, terluka. Mengutip dariAljazeera, faksi Hamas di Gaza, Palestina, mengecam keras serangan mematikan Israel di Provinsi Sanaa dan al-Jawf, Yaman, dan menyebutnya sebagai ""serangan barbar"" yang menewaskan dan melukai warga sipil. Dalam sebuah pernyataan, kelompok Palestina tersebut menggambarkan serangan tersebut sebagai pelanggaran terang-terangan terhadap hukum internasional dan kedaulatan Yaman, serta bagian dari eskalasi agresi Israel di wilayah tersebut. Hamas menyatakan solidaritasnya dengan rakyat Yaman. Mereka juga memuji Houthi karena terus mendukung warga Palestina di Gaza meskipun menanggung kerugian besar. Kelompok ini juga mendesak negara-negara Arab dan Muslim, serta komunitas internasional yang lebih luas, untuk segera bertindak guna menghentikan serangan Israel dan meminta pertanggungjawaban para pemimpinnya atas kejahatan perang. ",https://www.cnnindonesia.com/internasional/20250911014557-120-1272351/israel-bom-markas-houthi-di-ibu-kota-yaman-35-tewas-118-terluka
Gol Rekan Audero Terpilih Jadi Gol Terbaik Agustus,olahraga,"Gol rekan setimEmil Auderodi Cremonese, Federico Bonazzoli terpilih sebagai gol terbaik bulan Agustus di Serie A. Gol Bonazzoli tercipta pada pekan pertama Serie A ketika Cremonese menghadapi Milan. Gol tersebut tercipta di menit ke-61 dan membuat kedudukan jadi 2-1 untuk Cremonese. Gol tersebut bermula dari serangan Cremonese di sisi kanan pertahanan Milan. Federico Baschirotto yang menguasai bola mengirim umpan backheel pada Giuseppe Pezzella. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT  Pezzella lalu melepaskan umpan silang ke arah tiang jauh. Di sana Bonazzoli sudah sigap menunggu dan melepaskan tendangan salto. Bola meluncur ke pojok gawang tanpa bisa ditangkap oleh Mike Maignan. ""Federico Bonazzoli memenangkan penghargaan Gol Terbaik bulan Agustus,"" demikian bunyi unggahan Liga Italia. Gol Bonazzoli turut membantu Cremonese meraih tiga poin pada pekan pertama di markas Milan. Kemenangan lawan Milan itu yang turut mengangkat kepercayaan diri Cremonese.  [Gambas:Twitter]  Hasilnya, Cremonese juga mampu menaklukkan Sassuolo dengan skor 3-2. Cremonese kini mengoleksi enam poin, sejajar dengan Napoli, AS Roma, dan Juventus. Pada pekan ketiga, Cremonese bakal bertemu Verona. Laga Verona vs Cremonese akan digelar pada Senin (15/9).  [Gambas:Video CNN] ",https://www.cnnindonesia.com/olahraga/20250910195105-142-1272288/gol-rekan-audero-terpilih-jadi-gol-terbaik-agustus
Charlie Kirk Influencer Muda Trump Tewas Ditembak di Event Kampus,internasional,"Pemengaruh (influencer) yang juga tokoh konservatif sekutu utama Presiden Amerika Serikat (AS)Donald Trump, Charlie Kirk (31), jadi korban penembakan di kampus Universitas Utah Valley, Rabu (10/9). Mengutip dariAFP, Kirk tak dapat diselamatkan nyawanya akibat penembakan tersebut. ""Charlie Kirk yang luar biasa, legendaris, telah meninggal. Tidak ada seorang pun yang memahami atau memiliki Hati Pemuda di Amerika Serikat yang lebih baik dibandingkan Charlie,"" kata Trump. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Saat aksi penembakan terjadi, Kirk sedang menjadi pembicara di kampus tersebut. Mengutip dariReuters, dari rekaman video yang beredar saat itu Kirk sedang berbicara dalam suatu acara di bawah tenda besar. Saat terdengar suara tembakan, beberapa saat kemudian terlihat Kirk tersungkur di podium. Kepanikan pun terjadi di antara audiens. ""Hari ini sekitar pukul 12.10, sebuah tembakan ditargetkan ke pembicara tamu, Charlie Kirk. Dia tertembak dan telah dibawa dari lokasi oleh tenaga keamanannya. Polisi kampus masih menginvestigasi terduga pelaku yang sudah diamankan,"" demikian pernyataan pihak universitas pada akun media sosialnya. Dalam pernyataan terpisah yang dikutipFox News, pihak kampus menyatakan tembakan itu diduga dilakukan dari jarak jauh. ""Penembakan diduga ditembakkan dari sebuah gedung sekitar 182 meter dari pembicara,"" katanya.. Imbas penembakan tersebut, kampus tersebut pun ditutup sepanjang Rabu lalu. Mantan anggota kongres dari Utah, Jason Chaffetz, yang berada di lokasi mengatakan penembakan terjadi saat sesi tanya-jawab. ""Pertanyaan pertama tentang agama. Dia berbicara selama sekitar 15-20 menit. Pertanyaan kedua, menariknya, tentang penembak transgender, penembak massal, dan di tengah-tengah itu, suara tembakan terdengar,"" ujar Chaffetz yang terdengar dengan nada masih terguncang. Chaffetz mengaku saat suara tembakan terjadi dan korban tersungkur, dirinya sedang melihat Kirk. ""Kebetulan saya sedang memerhatikan Charlie. Saya tidak bisa bilang saya melihat darah. Saya tidak bisa bilang saya melihatnya ditembak, tetapi begitu tembakan itu dilepaskan, dia tersungkur,"" kata dia. ""Semua orang tiarap, semua orang... banyak orang mulai berteriak, lalu semua orang mulai berlari,"" tambahnya.   Mengutip dariAFP, Kirk memiliki pengaruh yang sangat besar dalam politik AS, termasuk menjadi kunci bagi Trump dalam menggaet kalangan pemilih muda. Kirk mendirikan Turning Point USA pada tahun 2012 dengan misi untuk menggerakkan sudut pandang konservatif di kalangan anak muda. Hal tersebut pun menjadikannya juru bicara andalan di jaringan televisi dan di konferensi-konferensi bagi kaum muda sayap kanan. Ia telah memanfaatkan audiensnya yang besar di Instagram dan YouTube untuk membangun dukungan bagi kebijakan konservatif. Kehadirannya di kampus-kampus dipandang oleh kalangan kanan sebagai kontras yang disambut baik terhadap sudut pandang liberal yang tersebar luas di pendidikan tinggi, tetapi seringkali memicu pertentangan yang sengit. Berita penembakan tersebut memicu kengerian di seluruh spektrum politik. ",https://www.cnnindonesia.com/internasional/20250911030946-134-1272356/charlie-kirk-influencer-muda-trump-tewas-ditembak-di-event-kampus
"'Bedol Desa' ASN Purwakarta ke Pemprov Jabar di Masa Demul, Ada Apa?",nasional,"Belasan pejabat atau aparatur sipil negara (ASN) dari KabupatenPurwakartadipindahtugaskan alias mutasi ke lingkunganPemerintah Provinsi Jawa Baratdi bawah kepemimpinan GubernurDedi Mulyadi. Publik menyebut fenomena ini sebagai bedol desa karena jumlah ASN yang dipindahtugaskan cukup banyak. Alasan lain penyebutan bedol desa karena Dedi Mulyadi sendiri merupakan mantan Bupati Purwakarta dua periode dari 2008 hingga 2018. Gelombang bedol desa terbaru terjadi pada Senin, 10 September lalu, ketika 10 pejabat eselon III asal Purwakarta resmi dilantik menempati posisi baru di berbagai satuan kerja perangkat daerah (SKPD) Pemprov Jabar. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Catatandetikcom, sebelumnya 4 pejabat eselon II lebih dulu dilantik oleh Dedi Mulyadi pada Mei 2025. Sekretaris Daerah (Sekda) Provinsi Jawa Barat Herman Suryatman mengeklaim aksi bedol desa pejabat Kabupaten Purwakarta ke lingkungan Pemerintah Provinsi (Pemprov) Jawa Barat belum lama ini, memenuhi mekanisme sistem meritokrasi.  Herman mengatakan selain sesuai mekanisme meritokrasi, para pejabat dari Pemkab Purwakarta itu juga dianggap telah memenuhi syarat untuk mengisi sejumlah jabatan yang telah diberikan Gubernur Dedi Mulyadi. ""Begini, kita kan sistem merit dan itu dasarnya adalah kualifikasi, kompetensi dan kinerja. Dari mana pun asalnya Pemda Provinsi Jawa Barat membuka diri. Bisa melalui melaluie-talent, bisa daftar langsung, bisa juga melaluitalent scouting,"" ujar Herman, di Bandung, Rabu (10/9). Berangkat dari pertimbangan-pertimbangan tersebut, Herman mengatakan mutasi pejabat dari kabupaten, seperti dari Purwakarta, bisa dilakukan sewaktu-waktu. Lewat pemanfaatan SDM yang ada ditalent poolPemprov Jabar, dan melaluitalent scouting, kata Herman, calon-calon yang potensial dari berbagai kabupaten dan kota di Jabar bisa terpilih. ""Intinya harus mengacu ke kualifikasi kompetensi kinerja, dan yang kemarin dilantik semuanya sudah mengikuti mekanisme, sudah diuji kompetensi dan hasilnya memenuhi syarat minimal untuk gabung di Pemda Provinsi Jawa Barat,"" ucap Herman. Herman juga menjamin, seluruh nama yang mengisi jabatan di Pemprov Jabar memiliki kualifikasi dan kinerja yang baik, karena dalam prosesnya, para pejabat itu sudah melalui proses seleksi bersama dengan tim panitia seleksi khusus, dari segi kualifikasi, kompetensi dan kinerja. Herman mengaku selalu membuka diri bagi mereka-mereka yang berminat untuk bergabung bersama Pemerintah Provinsi. ""Jadi jangan nanya dari mana, tetapi apakah akuntabel atau tidak, mekanismenya akuntabel dan SDM-nya juga yang bersangkutan bisa dipertanggungjawabkan dari sisi kualifikasi kompetensi kinerja. Saya sebagai Sekda mengawal langsung, semuanya sesuai ketentuan. Paling penting SDM-nya tadiqualified, kompeten, berkinerja dan bisa mendorong progresivitas pemerintahan yang saat ini dipimpin oleh Pak Gubernur,"" tuturnya. Bedol desa pejabat Purwakarta ke Pemprov Jabar juga diumumkan oleh Diskominfo Purwakarta dalam media sosialnya, Jumat (5/9).  Para pejabat yang dimutasi ke Pemprov Jabar itu baru-baru ini antara lain Dadi Sadali, Sekretaris BKPSDM Purwakarta menjadi Sekretaris Badan Kepegawaian Daerah Provinsi Jabar. Rudi Hermawan Kusumah, Kabag UKPBJ Setda Purwakarta menjadi Kabag TU Biro Pengadaan Barang & Jasa Setda Jabar; Ervin Aulia Rachman, Kabid Pendidikan Dasar Disdik Purwakarta menjadi Kepala Cabang Dinas Wilayah II Disdik Jabar; Kosasih, Plt Kepala DLH Purwakarta menjadi Sekretaris Dinas Bina Marga & Penataan Ruang Jabar. Muhtar Jalaludin, Kabid Tata Bangunan DPUTR Purwakarta menjadi Kepala UPTD Pengelolaan Jalan & Jembatan Wilayah III Jabar; Edi Sukandar, Sekretaris Bappelitbangda Purwakarta menjadi Sekretaris Dinas Kesehatan Jabar; Muhamad Kosim, Camat Bojong Purwakarta menjadi Kabid Pemberdayaan Usaha Ekonomi Masyarakat DPMD Jabar. Endah Fitriah, Analis Keuangan Bapenda Purwakarta menjadi Analis Perencanaan Evaluasi & Pelaporan Biro Administrasi Pimpinan Setda Jabar; Dayli Setiaji, Kabid Pengawasan & Keselamatan menjadi Kepala UPTD Pusat Pengelolaan Pendapatan Daerah Wilayah KBB Bapenda Jabar. Dan Maksum Kosasih, Analis SDM Aparatur Ahli Muda Bapenda Purwakarta menjadi Kasubbag TU Cabang Disdik Wilayah IV Jabar.",https://www.cnnindonesia.com/nasional/20250911075902-32-1272399/bedol-desa-asn-purwakarta-ke-pemprov-jabar-di-masa-demul-ada-apa
"Bahaya Memanaskan Makanan Terlalu Sering, Bisa Picu Keracunan",gaya-hidup,"Banyak orang memilih memasak dalam jumlah besar agar lebih praktis.Makananyang sudah dimasak biasanya disimpan dikulkaslalu dihangatkan kembali saat hendak disantap. Sekilas, cara ini tampak efisien dan menghemat waktu. Namun, tahukah Anda bahwa memanaskan makanan berulang kali justru dapat membawa dampak buruk bagi kesehatan? Pasalnya, tidak semua jenis makanan aman dipanaskan terus-menerus, bahkan ada yang justru bisa menimbulkan risiko serius bagi tubuh. Alih-alih lebih praktis, kebiasaan ini bisa berujung pada masalah kesehatan yang tak terduga. Berikut beberapa bahaya memanaskan makanan terlalu sering yang perlu Anda waspadai, melansir berbagai sumber: ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Sayuran yang dipanaskan berulang cenderung kehilangan banyak kandungan vitamin dan fitonutriennya. Menurut Food Science and Biotechnology (2017), proses pemanasan dapat menurunkan kadar vitamin C dan B yang sangat penting bagi tubuh.  Jenis sayuran seperti brokoli, bayam, atau kubis yang dipanaskan berulang kali justru berkurang manfaatnya. Akibatnya, Anda berisiko kekurangan nutrisi meski merasa sudah mengonsumsi sayur dalam jumlah cukup. Pemanasan makanan tidak selalu berarti aman dari bakteri. Justru pada suhu tertentu, sekitar 5-60 derajat Celcius, bakteri lebih mudah berkembang biak. Food Standards Agency di Australia menyebut kondisi ini bisa memicu munculnya spora beracun. Salah satu bakteri berbahaya adalah Clostridium botulinum yang dapat hinggap pada daging, ikan, telur, bahkan nasi. Mengonsumsi makanan yang terkontaminasi bakteri ini bisa berakibat keracunan serius. Protein dalam makanan yang dipanaskan berulang kali dapat mengalami perubahan struktur. Proses oksidasi asam amino dan nitrogen akibat pemanasan berulang dapat memicu gangguan pada sistem pencernaan. Itu sebabnya, makanan berprotein tinggi seperti daging, ayam, dan ikan sebaiknya tidak dipanaskan berkali-kali. Pemanasan berulang juga bisa merusak enzim yang berfungsi membantu pencernaan dan menstabilkan reaksi oksidasi di dalam tubuh. Kerusakan enzim ini berpotensi memicu terbentuknya radikal bebas, yang bila menumpuk dapat meningkatkan risiko penyakit kronis seperti kanker.  Memanaskan makanan terlalu sering memang terasa praktis, tetapi efeknya tidak sepele. Mulai dari hilangnya gizi, risiko keracunan, gangguan pencernaan, hingga bahaya radikal bebas. Untuk lebih aman, sebaiknya hangatkan makanan hanya sekali dan pastikan disimpan dengan cara yang benar.",https://www.cnnindonesia.com/gaya-hidup/20250910073124-262-1271927/bahaya-memanaskan-makanan-terlalu-sering-bisa-picu-keracunan
VIDEO: Rapat Perdana Menkeu Purbaya Dicecar Komisi XI DPR,tv,"Menteri Keuangan Purbaya Yudhi Sadewa masih menjadi sorotan. Kali ini dari rapat kerja perdana Menkeu Purbaya dengan Komisi XI DPR RI. Rapat yang membahas rencana kerja dan anggaran Kementerian Keuangan tahun 2026 justru diwarnai sejumlah kritikan, tuntutan sekaligus harapan menciptakan pertumbuhan ekonomi yang berkualitas.",https://www.cnnindonesia.com/tv/20250911092357-400-1272431/video-rapat-perdana-menkeu-purbaya-dicecar-komisi-xi-dpr
